,KIC,group,ifpublish,ifradial,PTamp,PTeamp,PTlw,PTelw,PTfc,PTefc,PTlnK,PTelnK
47,1296507,5.0,1.0,1.0,1.9384,0.192,0.7093,0.1541,147.437,0.086,3.2602,1.1555
48,1296507,6.0,1.0,1.0,0.976,0.1993,0.261,0.2298,157.8567,0.0688,2.5866,1.1629
49,1429497,0.0,1.0,1.0,2.1114,0.2246,0.7634,0.26875,208.5864,0.09585,7.8933,1.1481
50,1429497,1.0,1.0,1.0,2.395,0.204,0.2317,0.06785,225.2551,0.0244,33.633,1.7197
51,1429497,2.0,1.0,1.0,2.2165,0.23935,0.1162,0.05005,241.9828,0.01465,32.1393,1.9969999999999999
52,1429497,3.0,1.0,1.0,1.6753,0.2284,0.3685,0.15775,258.8188,0.0646,8.2966,1.4654
53,1429505,0.0,1.0,0.0,0.6512,0.16315,0.1182,0.09095,41.3494,0.0449,3.8276,1.2779
54,1429505,1.0,1.0,1.0,1.7483,0.1949,0.0796,0.02685,46.7,0.0113,33.894,1.8672
55,1429505,2.0,1.0,1.0,3.5906,0.3256,0.0881,0.02255,52.4855,0.00945,60.757,1.9316
56,1429505,3.0,1.0,1.0,3.6283,0.30455,0.1042,0.02485,58.2048,0.01045,57.6591,1.9182
57,1429505,4.0,1.0,1.0,2.4259,0.1809,0.2795,0.07315,64.0137,0.0248,13.3798,1.4108
58,1429505,5.0,1.0,0.0,0.8893,0.17775,0.2748,0.1369,75.9171,0.0618,1.9223,1.0861
59,1431059,0.0,1.0,0.0,0.8816,0.1684,0.0869,0.07415,127.5463,0.02065,6.7828,1.9052
60,1431059,1.0,1.0,1.0,1.3014,0.1846,0.2082,0.1287,140.6903,0.0328,5.3723,1.67
61,1431059,2.0,1.0,1.0,2.5124,0.2006,0.1645,0.0432,154.2122,0.01635,54.7771,1.8084
62,1431059,3.0,1.0,1.0,4.455,0.2987,0.1698,0.03365,167.8349,0.01375,117.0706,1.9543
63,1431059,4.0,1.0,1.0,3.7731,0.24905,0.1979,0.04015,181.4438,0.0161,86.9345,1.8567
64,1431059,5.0,1.0,1.0,1.8829,0.18065,0.3263,0.09995,195.3068,0.0419,16.7243,1.5345
65,1432825,0.0,1.0,1.0,1.3929,0.18065,0.2592,0.128,154.9214,0.0386,8.2781,1.6266
66,1432825,1.0,1.0,1.0,2.126,0.1988,0.1292,0.03875,168.6606,0.01545,43.6585,1.8063
67,1432825,2.0,1.0,1.0,2.2533,0.1966,0.1657,0.0477,182.2905,0.01815,38.8874,1.7723
68,1432825,3.0,1.0,1.0,1.6671,0.19,0.2751,0.1115,196.0636,0.0384,13.7671,1.6076
69,1432825,5.0,1.0,0.0,1.2936,0.2919,0.645,0.3735,238.5331,0.1791,2.1961,0.8971
70,1433593,1.0,1.0,1.0,1.4280000000000002,0.152,0.1585,0.05115,56.7998,0.0234,15.8194,1.6118
71,1433593,2.0,1.0,1.0,1.8564,0.175,0.1254,0.0366,63.0078,0.01525,27.0645,1.7647
72,1433593,3.0,1.0,1.0,3.4547,0.29205,0.1028,0.02405,69.2698,0.0104,64.7732,1.8882
73,1433593,4.0,1.0,1.0,2.2871,0.1772,0.226,0.06265,75.4707,0.02145,17.1557,1.5567
74,1433593,5.0,1.0,1.0,1.6519,0.16925,0.3783,0.10845,81.8087,0.04505,4.2942,1.1926
75,1433593,6.0,1.0,1.0,0.9304,0.18565,0.3243,0.15215,88.2933,0.0722,1.12,1.0669
76,1433593,7.0,1.0,1.0,0.5551,0.20285,0.2218,0.1818,94.7698,0.0869,1.1055,0.9463
77,1433730,1.0,1.0,1.0,0.9499,0.15705,0.1632,0.08995,28.9031,0.03125,3.2637,1.1826
78,1433730,2.0,1.0,1.0,1.3824,0.15585,0.1574,0.0587,32.7307,0.02335,9.4787,1.4468
79,1433730,3.0,1.0,1.0,2.3003,0.20895,0.1048,0.02875,36.6965,0.0122,27.26,1.7303
80,1433730,4.0,1.0,1.0,2.734,0.20795,0.1856,0.04865,40.8344,0.0172,14.7365,1.5443
81,1433730,5.0,1.0,1.0,2.439,0.1933,0.2939,0.0609,44.8617,0.0273,4.7311,1.3341
